	Kingdom	Phylum	Class	Order	Family	Genus
ASV_2583	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2584	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	NA	NA
ASV_2585	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Diplosphaera
ASV_2586	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	NA
ASV_2587	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter
ASV_2588	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas
ASV_2589	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	PHOS-HE36	NA
ASV_2590	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2591	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter
ASV_2592	Bacteria	Planctomycetota	NA	NA	NA	NA
ASV_2593	Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	NA
ASV_2594	Bacteria	NA	NA	NA	NA	NA
ASV_2595	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella
ASV_2596	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA
ASV_2597	Bacteria	Actinobacteriota	Actinobacteria	PeM15	NA	NA
ASV_2598	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA
ASV_2599	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA
ASV_2600	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
ASV_2601	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna
ASV_2602	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia
ASV_2603	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula
ASV_2604	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade
ASV_2605	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus
ASV_2606	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	NA
ASV_2607	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	NA
ASV_2608	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2609	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Sedimenticola
ASV_2610	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2611	Bacteria	Planctomycetota	Pla4 lineage	NA	NA	NA
ASV_2612	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA
ASV_2613	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
ASV_2614	Bacteria	Myxococcota	Polyangia	Blfdi19	NA	NA
ASV_2615	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2616	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA
ASV_2617	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Phaeocystidibacter
ASV_2618	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Salinirepens
ASV_2619	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	OM182 clade	NA
ASV_2620	Bacteria	Acidobacteriota	Subgroup 22	NA	NA	NA
ASV_2621	Bacteria	Myxococcota	Polyangia	Blfdi19	NA	NA
ASV_2622	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NA
ASV_2623	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_2624	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA
ASV_2625	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA
ASV_2626	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
ASV_2627	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353 marine group	NA	NA
ASV_2628	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV_2629	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	NA
ASV_2630	Bacteria	Myxococcota	Polyangia	Polyangiales	NA	NA
ASV_2631	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV_2632	Bacteria	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	R76-B128
ASV_2633	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group
ASV_2634	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis
ASV_2635	Bacteria	MBNT15	NA	NA	NA	NA
ASV_2636	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2637	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium
ASV_2638	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum
ASV_2639	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Kangiellaceae	Pleionea
ASV_2640	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2641	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	NA
ASV_2642	Bacteria	Acidobacteriota	Subgroup 22	NA	NA	NA
ASV_2643	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium
ASV_2644	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Haloferula
ASV_2645	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	Sneathiella
ASV_2646	Bacteria	Planctomycetota	OM190	NA	NA	NA
ASV_2647	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 9	NA	NA
ASV_2648	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA
ASV_2649	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Gilvimarinus
ASV_2650	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 9	NA	NA
ASV_2651	Bacteria	Planctomycetota	OM190	NA	NA	NA
ASV_2652	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2653	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus
ASV_2654	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
ASV_2655	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	NA
ASV_2656	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans
ASV_2657	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA
ASV_2658	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus
ASV_2659	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA
ASV_2660	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum
ASV_2661	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospira
ASV_2662	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA
ASV_2663	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA
ASV_2664	Bacteria	Proteobacteria	Gammaproteobacteria	PLTA13	NA	NA
ASV_2665	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Tunicatimonas
ASV_2666	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA
ASV_2667	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA
ASV_2668	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NA
ASV_2669	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA
ASV_2670	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_2671	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Nevskia
ASV_2672	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group
ASV_2673	Bacteria	Latescibacterota	NA	NA	NA	NA
