	sa1	sa2	sa3	sa4	sa5	sa6	sa7	sa8	sa9	sa10	sa11	sa12	sa13	sa14	sa15	sa16	sa17	sa18	sa19	sa20	sa21	sa22	sa23	sa24	sa25	sa26	sa27	sa28	sa29	sa30	sa31	sa32	sa33	sa34	sa35	sa36	sa37	sa38	sa39	sa40	sa41	sa42	sa43	sa44	sa45	sa46	sa47	sa48	sa49	sa50	sa51
ASV_42	23	100	17	178	167	242	23	18	0	25	16	29	239	179	208	28	17	18	82	134	227	31	33	13	187	207	49	485	811	292	72	15	55	28	119	121	203	191	192	59	39	31	87	93	192	144	321	30	53	52	0
ASV_43	108	64	0	0	0	0	56	1094	0	183	168	98	0	0	0	155	128	269	0	0	0	70	38	446	227	0	189	0	0	0	44	549	55	0	0	27	0	0	0	100	157	62	102	903	0	0	0	235	299	331	0
ASV_44	64	81	0	0	0	0	49	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	62	86	0	0	0	247	63	120	335	468	1040	0	0	0	532	561	601	146	291	0	0	0	231	239	340	81
ASV_45	375	603	97	0	0	0	294	442	0	90	189	70	0	0	0	184	182	174	0	0	0	231	148	37	0	0	0	0	0	0	104	0	49	164	198	427	0	0	0	214	209	207	135	284	0	8	0	241	188	300	26
ASV_46	0	64	0	0	57	52	126	0	0	1335	712	1538	815	46	0	0	0	0	0	110	26	15	35	0	95	0	39	118	41	0	0	0	0	96	31	0	77	24	74	0	0	0	57	0	0	28	43	0	0	38	0
ASV_47	61	62	26	45	0	0	93	26	0	1813	756	2076	207	0	38	70	53	36	29	0	0	0	0	0	64	28	0	0	0	54	16	0	0	0	0	0	0	0	0	29	0	0	0	28	0	0	0	25	30	0	0
ASV_48	13	57	11	162	222	307	9	5	0	22	12	24	299	208	232	17	7	8	107	147	198	14	5	0	165	142	54	352	468	239	71	7	49	10	64	57	252	193	258	11	19	19	84	104	227	174	365	8	29	24	0
ASV_49	666	0	0	44	0	30	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1565	1118	951	0	0	0	675	0	0	56	79	51	0	0	0	0	0	0	52	51	0	0	0	0
ASV_50	0	0	0	0	0	0	0	0	5230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149
ASV_51	80	138	0	0	0	0	89	97	0	0	64	0	0	0	0	75	91	69	0	0	0	0	0	0	272	128	215	0	0	0	1046	302	478	230	235	308	0	0	0	325	260	271	62	83	0	0	0	133	100	168	0
ASV_52	101	167	29	35	59	81	72	79	0	31	96	36	39	29	45	93	92	51	27	28	17	52	32	19	215	322	179	132	119	99	289	48	217	108	295	384	48	81	74	42	237	280	40	159	31	35	76	174	122	177	24
ASV_53	0	0	0	0	0	0	0	0	5309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_54	90	52	29	0	0	0	77	141	0	158	191	142	0	0	0	290	219	400	0	0	0	676	339	1948	17	0	24	0	0	0	0	9	12	15	8	0	0	0	0	19	34	13	73	93	0	0	0	61	87	54	0
ASV_55	272	140	113	0	0	0	191	195	0	202	150	204	0	0	0	291	302	266	30	32	0	373	227	132	44	0	35	0	0	0	107	0	50	101	69	120	0	0	0	121	106	97	182	231	0	0	0	245	199	321	0
ASV_56	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1568	2470	424	0	0	0	0	0	0	124	151	156	0	0	0	0	0	0	58	85	0	0	0	0
ASV_57	9	38	0	198	214	296	0	0	0	12	0	13	283	187	191	0	0	0	109	157	181	8	0	0	85	306	33	363	528	165	41	0	13	13	34	17	185	213	233	0	0	11	34	51	163	171	338	0	0	0	0
ASV_58	78	336	93	37	0	0	37	0	0	206	251	159	198	0	0	26	16	0	0	0	0	12	0	0	322	201	157	69	0	31	0	0	0	153	181	96	0	0	0	0	0	0	615	1495	0	0	16	12	0	20	42
ASV_59	150	27	17	0	0	0	70	517	0	161	128	37	0	0	0	128	187	307	0	0	0	24	0	85	331	37	303	0	15	0	0	431	26	37	55	29	0	0	0	69	72	20	120	294	0	0	0	80	132	78	850
ASV_60	55	0	0	10	0	0	235	194	0	39	33	27	0	16	12	51	42	53	33	49	0	673	362	526	217	81	176	26	0	10	281	272	115	18	0	0	5	8	0	68	39	37	144	139	0	0	8	224	137	146	0
ASV_61	213	289	0	0	0	0	164	182	0	146	285	99	0	0	0	193	192	198	0	0	0	148	69	0	88	0	78	0	0	0	347	77	159	125	93	281	0	0	0	193	168	149	63	117	0	0	0	94	84	143	0
ASV_62	125	98	48	0	0	8	174	135	0	78	107	123	0	6	17	182	193	152	25	19	0	147	84	85	60	14	146	0	7	0	300	163	172	127	50	109	10	0	4	151	136	161	104	100	0	8	0	292	216	301	0
ASV_63	75	133	21	0	0	0	81	61	0	107	78	90	0	0	32	96	120	103	0	0	0	183	108	109	140	61	114	0	0	0	740	175	345	145	190	199	0	0	0	214	139	170	62	63	0	0	0	74	79	115	0
ASV_64	59	67	25	55	72	67	29	16	0	46	35	25	45	28	31	14	11	14	24	0	0	17	11	0	205	275	67	246	413	181	213	53	181	122	258	278	89	135	145	79	81	99	73	65	42	77	90	44	54	53	0
ASV_65	191	124	66	0	0	0	191	91	0	130	72	90	0	0	0	147	123	120	0	0	0	60	41	28	170	18	100	0	0	0	296	108	156	70	84	82	0	0	0	125	199	109	179	152	0	0	0	195	144	203	368
ASV_66	26	72	0	108	181	270	0	36	0	57	0	41	207	133	163	0	0	45	89	127	151	46	14	0	130	63	56	184	202	44	0	39	0	25	53	49	191	130	207	29	0	0	78	94	137	181	367	27	47	37	0
ASV_67	234	319	97	0	0	0	637	709	0	0	21	16	0	0	0	54	0	88	0	0	0	79	57	49	22	0	0	0	0	0	15	0	0	31	50	194	0	0	0	100	74	73	99	206	0	0	0	318	254	335	0
ASV_68	165	62	45	0	0	0	198	191	0	105	98	142	0	0	0	302	265	223	0	0	0	105	44	62	54	0	80	0	0	0	34	234	74	81	32	37	0	0	0	50	73	41	312	367	0	0	0	157	192	189	0
ASV_69	353	152	128	0	0	0	124	76	0	210	93	258	0	0	0	127	115	102	7	0	0	165	91	109	34	6	40	0	0	0	110	20	34	153	66	78	0	0	0	54	54	30	309	241	0	0	0	91	82	110	384
ASV_70	169	103	89	0	0	0	87	105	0	0	0	68	0	0	0	101	81	83	0	0	0	0	0	0	158	0	189	0	0	0	505	145	250	158	101	106	0	0	0	199	201	173	234	150	0	0	0	167	146	209	0
ASV_71	9	47	8	91	101	144	14	10	0	17	13	24	169	133	124	10	9	16	58	91	126	23	0	0	133	171	52	289	565	236	38	0	18	6	48	46	165	104	183	0	0	25	54	83	132	73	212	12	16	17	0
ASV_72	0	0	0	277	322	285	0	0	0	0	0	0	250	391	190	0	0	0	612	369	43	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	105	75	159	0	0	0	0	0	38	349	420	0	0	0	0
ASV_73	0	0	0	182	194	268	0	0	0	12	0	0	192	149	102	0	0	0	64	132	199	0	0	0	79	132	0	226	322	147	0	0	0	0	28	0	190	248	323	0	0	0	0	0	200	172	339	0	0	0	0
ASV_74	173	186	43	0	0	34	112	83	0	77	115	72	28	28	23	153	175	153	30	52	22	201	187	50	93	88	36	0	0	0	123	18	65	85	279	184	0	0	0	22	120	149	62	148	0	0	0	116	111	149	0
ASV_75	25	37	20	0	0	0	64	64	0	72	102	32	0	0	0	52	39	60	0	0	0	71	24	13	338	51	211	0	0	0	350	463	312	94	50	113	0	0	0	235	234	191	68	41	0	0	0	74	71	111	0
ASV_76	223	162	62	0	0	0	65	95	0	105	158	108	0	0	11	170	140	182	0	0	0	287	153	70	0	0	0	0	0	0	142	0	39	165	253	232	0	0	0	135	125	193	60	43	0	0	0	72	61	76	0
ASV_77	0	33	0	0	0	0	64	220	0	131	108	26	0	0	0	176	121	233	0	0	0	140	60	653	130	0	166	0	0	0	72	333	30	0	0	0	0	0	0	29	39	18	0	310	0	0	8	111	136	126	0
ASV_78	0	0	0	188	290	375	0	0	0	0	0	0	307	184	190	0	0	0	103	135	164	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	127	134	220	0	46	0	0	0	208	237	476	0	0	0	0
ASV_79	0	0	0	0	0	0	0	0	3373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_80	20	32	0	74	82	101	0	0	0	20	22	0	86	80	61	13	0	0	19	72	53	14	0	0	70	77	31	291	476	250	62	0	37	0	42	0	190	232	372	0	0	0	46	18	102	77	219	0	0	0	0
ASV_81	0	0	0	0	0	0	0	0	0	22	0	18	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	2708	351	150	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
ASV_82	44	48	8	0	0	0	28	29	0	65	24	21	0	0	0	57	49	44	0	0	0	53	35	29	269	211	170	73	89	37	191	333	150	72	139	196	0	0	36	157	140	115	74	153	0	0	0	58	54	82	0
ASV_83	0	31	0	121	171	211	5	0	0	0	10	9	253	150	149	0	7	0	110	132	139	0	0	6	54	126	32	184	311	139	0	7	9	5	16	0	103	133	127	0	0	5	34	30	158	126	212	5	7	6	0
ASV_84	31	37	14	0	0	0	103	129	0	63	42	14	0	0	0	58	58	68	0	0	0	331	183	134	15	0	0	9	0	0	0	0	0	23	11	52	0	0	0	69	14	22	252	364	0	0	0	377	396	446	0
ASV_85	49	68	31	137	133	35	0	0	0	117	310	112	26	33	24	0	0	16	0	0	0	0	0	0	185	0	43	407	158	120	0	0	0	103	44	11	398	135	88	0	0	0	189	161	9	90	32	0	14	0	0
ASV_86	88	105	41	44	47	54	43	54	0	103	76	107	93	51	92	50	48	29	32	103	100	44	25	0	77	14	55	17	165	0	101	19	68	97	180	140	19	0	0	29	43	64	211	136	16	30	30	55	74	69	130
ASV_87	0	0	0	0	0	0	0	0	2852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	358
ASV_88	0	37	0	113	84	123	0	0	0	22	14	22	63	52	39	0	0	0	30	42	50	0	0	0	199	483	0	233	299	114	0	0	0	15	17	0	226	152	291	0	0	0	27	21	146	109	190	0	0	0	0
ASV_89	0	0	0	0	258	59	0	0	0	0	0	0	0	0	74	0	0	0	0	31	0	0	0	0	0	0	0	0	121	2621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_90	0	0	0	269	320	256	0	0	0	0	0	0	220	276	166	0	0	0	262	311	87	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	86	68	204	0	0	0	0	0	0	314	280	0	0	0	0
ASV_91	170	90	48	0	0	0	111	130	0	53	41	55	0	0	0	124	134	128	0	0	0	154	82	24	74	40	37	0	0	0	229	45	143	52	131	168	0	0	0	79	102	101	74	109	0	0	0	120	124	156	23
ASV_92	0	0	0	365	940	127	0	0	0	0	0	0	83	80	324	0	0	0	265	148	15	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	49	0	27	0	0	0	12	0	0	404	245	0	0	0	0
ASV_93	0	0	0	42	68	0	0	0	0	0	0	0	65	31	0	0	0	0	0	0	0	0	0	0	58	113	0	534	601	300	48	0	0	56	69	0	212	271	337	0	0	0	35	0	95	77	73	0	0	0	0
ASV_94	0	22	15	247	206	59	20	9	0	13	8	21	91	181	284	0	13	15	431	306	43	0	10	0	50	0	36	33	0	12	26	20	18	0	0	0	95	17	26	0	18	12	96	90	11	148	124	13	22	23	167
ASV_95	18	41	0	80	85	93	0	0	0	27	0	46	132	103	60	0	0	0	60	75	70	0	0	0	159	147	39	188	372	130	0	0	0	52	59	0	95	188	194	0	0	0	51	45	124	107	203	0	0	0	0
ASV_96	0	0	0	191	219	247	0	0	0	0	0	0	100	95	82	0	0	0	64	55	68	0	0	0	52	84	0	107	214	112	0	0	0	0	0	0	237	203	362	0	0	0	0	0	226	96	229	0	0	0	0
ASV_97	21	25	5	101	183	159	11	0	0	18	16	14	195	141	120	17	20	19	104	95	80	0	0	0	60	140	22	183	170	122	55	17	45	14	44	38	70	77	68	28	10	11	17	28	109	84	234	0	8	17	0
ASV_98	64	96	15	12	13	12	43	25	0	53	31	47	13	29	8	44	33	55	0	17	8	76	53	16	95	189	45	93	67	138	235	11	165	33	177	242	53	34	58	120	66	97	69	63	0	0	17	52	38	56	0
ASV_99	0	0	0	0	0	0	0	0	2065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	857
ASV_100	0	0	0	156	211	223	0	0	0	0	0	0	217	174	161	0	0	0	114	94	139	0	17	0	39	36	22	150	144	102	0	0	0	0	20	0	96	132	113	0	0	0	25	38	100	149	253	0	0	0	0
ASV_101	118	87	47	0	0	0	103	87	0	100	94	119	15	26	0	138	136	95	26	16	0	32	50	38	66	13	74	0	0	0	320	76	58	43	73	59	0	0	0	66	60	57	70	89	0	0	0	109	93	114	136
